sno,type,title,chapters,status,genres,popularity,score,authors,publish_time
667,manhwa,A Summer Night's Dream,86,Finished,"Romance,Supernatural",18560,7.02,"Kim, Subak (Story), Kan (Art)","Dec  1, 2020 to Aug  21, 2022"
668,manhwa,Reincarnated as an Unruly Heir,NULL,Publishing,Action,7544,7.02,"Dae, Eunho (Story), Jeon, Madu (Art)","Jul  22, 2021 to "
669,manhwa,The Wicked Little Princess,NULL,Publishing,Fantasy,11541,7.02,"Cha, Sohee (Story), Hwasom (Art), Chouchou (Art)","Jun  17, 2021 to "
670,manhwa,Call Me the Devil,NULL,Publishing,"Romance,Supernatural",19929,7.02,"Ante (Story), Sseona (Art)","Apr  21, 2022 to "
671,manhwa,Helmut,NULL,Publishing,"Action,Fantasy",5919,7.02,"Honyo (Story), Chae3 (Art)","Aug  31, 2022 to "
672,manhwa,The Part-Time Land of the Gods,NULL,Publishing,"Action,Fantasy",18126,7.02,"God Ttingjak (Story), Deany (Art), Mir (Art)","Feb  9, 2023 to "
673,manhwa,Vampire of the East,113,Finished,"Mystery,Romance,Supernatural",14811,7.02,"Han, Seung-Hee (Art), Jo, Joo-Hee (Story)","Feb  2012 to Jun  15, 2018"
674,manhwa,Ways of the Jogang Jicheo,53,Finished,"Comedy,Romance",13061,7.02,"Han, Yu-Rang (Story & Art)","Apr  1, 2009 to Jun  10, 2009"
675,manhwa,GIRL,NULL,Finished,"Comedy,Fantasy,Romance",13564,7.02,"Hwang, Mi Ri (Story & Art)",2010 to 
676,manhwa,Aegis,NULL,Finished,"Action,Love,Drama,Sci-Fi",14434,7.02,"Yoo, Jinha (Story & Art)",2002 to  2003
677,manhwa,Nabi,NULL,Publishing,"Action,Drama,Romance",14375,7.02,"Kim, Yeon-Joo (Story & Art)","Oct  25, 2006 to "
678,manhwa,The Beloved Little Princess,NULL,Publishing,"Comedy,Fantasy",4515,7.01,"Saha (Story), Dol-dae (Art)","Mar  26, 2020 to "
679,manhwa,Witch Hunt,88,Finished,"Fantasy,Supernatural",7597,7.01,"Park, So (Story & Art)","May  10, 2014 to Jan  9, 2016"
680,manhwa,The Taming of the Tyrant,NULL,Publishing,"Drama,Fantasy",6571,7.01,"Yusoy (Story), Melting (Art)","Jan  16, 2021 to "
681,manhwa,Two Steps Away,50,Finished,Romance,24576,7.01,"Kim, Byung-gwan (Art), Lee, Eunjung (Story)","Jun  15, 2021 to Apr  5, 2022"
682,manhwa,"My Daughter, the Music Prodigy",NULL,Publishing,Drama,18330,7.01,"Lee, Hansung (Story), Harvey (Art)","Nov  30, 2021 to "
683,manhwa,He Can't Be This Dumb!,91,Finished,"Comedy,Romance",16976,7.01,"Han, Jihye (Story), Pop (Art)","Sep  17, 2021 to Feb  17, 2023"
684,manhwa,The Slumbering Ranker,NULL,Publishing,"Action,Fantasy",6518,7.01,"Warluck (Story), Cheon, Jinhui (Art)","Mar  17, 2022 to "
685,manhwa,The Country Is Saved!,NULL,Finished,"Adventure,Fantasy,Romance,Sci-Fi",19347,7.01,"Lee, Sang-Eun (Story & Art)",2011 to  2013
686,manhwa,My Love Tiger,NULL,Publishing,"Comedy,Fantasy,Romance,Supernatural,Ecchi",4427,7.01,"Yoon, Jae Ho (Art), Carnel (Story)","Jul  5, 2014 to "
687,manhwa,XS Hybrid,35,Finished,"Action,Adventure,Sci-Fi",9272,7.01,"Song, Ji-Hyung (Story & Art)",2003 to 
688,manhwa,Redrum 327,18,Finished,Horror,8852,7.01,"Ko, Ya Seong (Story & Art)",2003 to  2004
689,manhwa,Ugly Duckling to Swan,NULL,Finished,"Comedy,Romance",5790,7.01,"Hwang, Mi Ri (Story & Art)",NULL
690,manhwa,Lover Boy,NULL,Finished,Romance,15216,7.01,"Han, Yu-Rang (Story & Art)","Jun  9, 2010 to Jul  30, 2010"
691,manhwa,Lost In London,37,Finished,"Romance,Supernatural",10104,7.01,"Lee, Eun-Young (Story & Art)",2011 to 
692,manhwa,Ties of Compassion,121,Finished,"Comedy,Drama,Romance,Life",14658,7.01,Jaehwalyong (Story & Art),"Feb  5, 2009 to Sep  19, 2011"
693,manhwa,Fallen Angels,NULL,Finished,"Comedy,Drama,Romance",11766,7,"Han, Yu-Rang (Story & Art)",NULL
694,manhwa,Nice Guy Syndrome,NULL,Finished,"Comedy,Romance",13198,7,"Hwang, Mi Ri (Story & Art)",2011 to 
